benefitamount (DEV Raw),benefitamount (QA Raw),,benefittyperaw (DEV Raw),benefittyperaw (QA Raw),termcode (DEV Raw),termcode (QA Raw),recordactivitydate (DEV Raw),recordactivitydate (QA Raw),personid (DEV Raw),personid (QA Raw)
875.0,500.0,,FFPG,FSEG,199810,200110.0,06/27/01,05/14/03,908,2291.0
938.0,-258.0,,FFPG,FSEG,200510,200810.0,08/03/04,04/26/07,30403,36444.0
600.0,250.0,,FFPG,FSEG,200610,201510.0,05/07/03,02/27/06,30521,37305.0
1750.0,250.0,,FSEG,NAVP,200610,201310.0,04/26/98,04/01/03,3173,33515.0
1125.0,300.0,,FFPG,NAVP,199810,199910.0,07/26/06,07/24/14,30117,34520.0
1025.0,1100.0,,FFPG,FSEG,200110,200420.0,02/14/02,10/14/04,2201,31477.0
700.0,-187.0,,FFPG,FSEG,200610,200810.0,11/19/04,06/05/08,30401,36420.0
750.0,250.0,,FFPG,FSEG,199910,200410.0,08/05/99,05/07/03,2723,32269.0
600.0,1000.0,,FFPG,FSEG,200510,200720.0,02/27/06,11/13/12,3412,33701.0
645.0,600.0,,FFPG,FSEG,200510,200910.0,02/07/03,10/03/05,624,881.0
1100.0,250.0,,FFPG,FSEG,200510,200810.0,11/10/04,04/20/09,30368,36313.0
600.0,750.0,,FFPG,FSEG,200210,200520.0,05/15/03,11/17/05,881,1710.0
1230.0,250.0,,FFPG,FSEG,200610,201210.0,10/10/03,02/11/06,765,1277.0
1519.0,2000.0,,FFPG,NAVP,200410,200610.0,04/01/03,03/26/03,221,624.0
645.0,250.0,,FFPG,FSEG,200620,200810.0,09/21/05,12/03/08,899,2059.0
1475.0,750.0,,FFPG,FSEG,200510,200810.0,06/27/01,04/08/98,2763,32402.0
1100.0,1000.0,,FFPG,FSEG,201110,201420.0,05/07/03,02/14/11,905,2288.0
500.0,250.0,,FFPG,NAVP,200510,200720.0,08/03/04,04/12/07,2723,32269.0
1100.0,188.0,,FFPG,NAVP,199910,200420.0,04/23/98,08/06/99,2289,31754.0
2000.0,375.0,,FFPG,FSEG,200610,201420.0,10/06/95,02/06/98,30117,34523.0
1100.0,250.0,,FFPG,FSEG,200610,200910.0,10/05/95,03/10/98,2781,32445.0
1275.0,150.0,,FFPG,FSEG,200410,200610.0,08/05/99,10/10/03,2922,32790.0
600.0,1500.0,,FFPG,FSEG,199810,199910.0,02/14/11,04/08/15,30624,39400.0
250.0,150.0,,FFPG,FSEG,201010,200910.0,04/06/05,12/03/08,804,1476.0
